supplier_id,company_name,country,orders_supplied,avg_lead_time_days,late_delivery_pct,rank_by_fastest_avg_lead_time,rank_by_lowest_late_pct
21,Lyngbysild,Denmark,37,6.3,2.7,1,8
27,Escargots Nouveaux,France,18,6.3,0.0,2,1
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Germany,31,6.8,3.2,3,11
9,PB Knäckebröd AB,Sweden,33,7.0,0.0,4,1
1,Exotic Liquids,UK,50,7.4,2.0,5,6
14,Formaggi Fortini s.r.l.,Italy,94,7.5,2.1,6,7
25,Ma Maison,Canada,67,7.6,3.0,7,10
3,Grandma Kelly's Homestead,USA,48,7.6,4.2,8,16
10,Refrescos Americanas LTDA,Brazil,49,7.7,4.1,9,15
6,Mayumi's,Japan,62,7.7,1.6,10,4
22,Zaanse Snoepfabriek,Netherlands,27,7.9,0.0,11,1
28,Gai pâturage,France,100,8.0,7.0,12,27
24,"G'day, Mate",Australia,92,8.0,5.4,13,22
7,"Pavlova, Ltd.",Australia,148,8.1,4.7,14,20
16,Bigfoot Breweries,USA,61,8.1,3.3,15,12
17,Svensk Sjöföda AB,Sweden,49,8.3,6.1,16,25
29,Forêts d'érables,Canada,70,8.4,2.9,17,9
8,"Specialty Biscuits, Ltd.",UK,149,8.4,4.0,18,14
19,New England Seafood Cannery,USA,85,8.6,5.9,19,24
5,Cooperativa de Quesos 'Las Cabras',Spain,50,8.7,4.0,20,13
20,Leka Trading,Singapore,77,8.8,5.2,21,21
2,New Orleans Cajun Delights,USA,66,8.8,4.5,22,18
12,Plutzer Lebensmittelgroßmärkte AG,Germany,156,8.8,4.5,23,17
15,Norske Meierier,Norway,97,8.9,6.2,24,26
26,Pasta Buttini s.r.l.,Italy,71,9.0,7.0,25,28
11,Heli Süßwaren GmbH & Co. KG,Germany,57,9.1,1.8,26,5
4,Tokyo Traders,Japan,50,9.3,8.0,27,29
18,Aux joyeux ecclésiastiques,France,52,9.5,5.8,28,23
23,Karkki Oy,Finland,65,10.2,4.6,29,19
